country,avg_tuition,private_unis,public_unis,private_uni_pct,total_students_mil,cost_of_living,scholarship_pct,avg_tuition_norm,cost_of_living_norm,private_uni_pct_norm,scholarship_pct_norm,scholarship_pct_norm_inverted,sfbi_score,education_cost_subindex,living_burden_subindex
norway,54298.93,1260,1479,54.4,6.9,70,34,0.9412509453118189,0.689655172413793,0.6882845188284519,0.01754385964912275,0.9824561403508772,1.0,0.8796590405056411,0.8960355987055016
italy,57519.74,1917,840,33.8,12.8,88,45,1.0,0.9999999999999999,0.25732217573221755,0.21052631578947367,0.7894736842105263,0.9484240297889008,0.7256888904240375,0.9745145631067961
nigeria,46975.53,1037,1441,68.7,29.7,77,54,0.8076687634682994,0.8103448275862067,0.98744769874477,0.36842105263157887,0.6315789473684211,0.92515006311696,0.9240259515964071,0.7421116504854369
switzerland,42222.39,730,1258,61.5,4.1,66,37,0.7209693053193923,0.6206896551724138,0.8368200836820083,0.07017543859649122,0.9298245614035088,0.8886397709427495,0.797972966110451,0.8147249190938513
japan,40440.55,1360,830,62.9,3.9,61,37,0.688467724783568,0.5344827586206896,0.8661087866108788,0.07017543859649122,0.9298245614035088,0.8432839397381446,0.7892317611937978,0.7570792880258901
spain,54335.02,935,694,52.2,28.1,75,57,0.9419092434988267,0.7758620689655172,0.6422594142259415,0.42105263157894735,0.5789473684210527,0.8412210951388053,0.859432462753255,0.683859223300971
chile,17115.56,1617,946,61.4,4.1,79,45,0.26300918698988274,0.8448275862068965,0.8347280334728033,0.21052631578947367,0.7894736842105263,0.7155023185794209,0.4885260553197198,0.8707524271844661
india,27537.78,860,221,51.2,13.2,85,57,0.45311526985483147,0.9482758620689654,0.6213389121338913,0.42105263157894735,0.5789473684210527,0.6886046877960742,0.520758227938082,0.7991504854368932
vietnam,31832.16,295,717,51.4,26.7,61,42,0.5314467347570864,0.5344827586206896,0.6255230125523012,0.1578947368421052,0.8421052631578948,0.6571221576154307,0.5754057468531084,0.6984223300970874
france,53722.33,1378,770,41.4,15.1,46,43,0.9307334963057599,0.27586206896551724,0.4163179916317992,0.17543859649122795,0.824561403508772,0.650535172995607,0.7504327340195923,0.5137540453074434
ukraine,24366.15,213,1456,24.9,11.7,78,33,0.395263280969838,0.8275862068965517,0.07112970711297067,0.0,1.0,0.6303793603642701,0.23468493597514212,1.0
russia,32741.8,940,1451,67.4,14.4,72,70,0.5480389864287333,0.7241379310344828,0.9602510460251048,0.6491228070175437,0.35087719298245634,0.6296890630659524,0.7369108012950424,0.49676375404530754
usa,31873.54,1906,167,67.4,16.7,54,62,0.5322015249753845,0.4137931034482758,0.9602510460251048,0.5087719298245612,0.4912280701754388,0.5447378721888791,0.7262418079059221,0.38309061488673146
iran,39689.01,1410,815,47.7,26.6,74,78,0.6747592897748727,0.7586206896551723,0.5481171548117156,0.7894736842105261,0.2105263157894739,0.5131903506228763,0.6371857853987942,0.4259708737864078
south korea,52699.65,1975,789,69.3,1.1,45,81,0.9120793430807919,0.2586206896551724,1.0,0.8421052631578947,0.1578947368421053,0.5085960550671776,1.0,0.056432038834951424
singapore,19648.47,940,183,57.6,28.3,39,33,0.30921062951838985,0.15517241379310343,0.7552301255230127,0.0,1.0,0.4934829740069301,0.4839471090734444,0.5503640776699029
israel,33617.34,356,132,48.6,0.7,71,72,0.5640092384279788,0.7068965517241378,0.5669456066945606,0.6842105263157894,0.3157894736842106,0.4924547410021329,0.5710343286365797,0.4617718446601942
finland,47321.57,203,970,67.4,26.9,37,68,0.8139806921087029,0.1206896551724137,0.9602510460251048,0.6140350877192982,0.38596491228070184,0.4924307241174874,0.9160639003032808,0.11670711974110029
brazil,2696.56,1749,258,66.7,29.6,67,51,0.0,0.6379310344827586,0.9456066945606696,0.3157894736842104,0.6842105263157896,0.48586377067156306,0.3611444787254224,0.6620145631067963
turkey,14518.97,1932,76,53.2,20.0,63,51,0.2156461919939704,0.5689655172413793,0.6631799163179917,0.3157894736842104,0.6842105263157896,0.46694980697955185,0.37957682099050544,0.6158980582524273
sweden,42883.11,1952,203,26.9,28.3,58,55,0.7330211417871054,0.48275862068965514,0.11297071129707109,0.3859649122807016,0.6140350877192984,0.4648047580392028,0.4810083336377231,0.5113268608414241
colombia,16954.47,1976,1389,23.3,13.8,87,54,0.26007083135272346,0.9827586206896551,0.03765690376569042,0.36842105263157887,0.6315789473684211,0.4604641876609324,0.1285790362854157,0.8574029126213594
china,42202.68,1355,1343,63.3,11.6,36,63,0.7206097858606524,0.10344827586206895,0.8744769874476988,0.5263157894736841,0.47368421052631593,0.45533716346405084,0.814642627992167,0.16383495145631075
canada,27480.02,177,1093,33.7,23.1,64,53,0.4520617009082654,0.5862068965517241,0.25523012552301266,0.3508771929824561,0.6491228070175439,0.4424344938078408,0.35562768115214044,0.6039644012944984
australia,16450.24,557,990,48.2,25.0,67,58,0.2508734444080041,0.6379310344827586,0.5585774058577406,0.4385964912280702,0.5614035087719298,0.4264701890672749,0.3563304815217208,0.5798948220064724
germany,21889.42,1704,489,62.3,11.9,56,66,0.35008658746172694,0.4482758620689654,0.8535564853556485,0.5789473684210527,0.42105263157894735,0.4118770297188386,0.5556421542107716,0.3592233009708737
denmark,33369.8,924,654,41.5,6.3,33,39,0.5594939950582948,0.051724137931034475,0.4184100418410042,0.10526315789473673,0.8947368421052633,0.40997789454766465,0.5012847408487965,0.4108009708737865
